"CTYNAME","pop2020","GrowthRate"
"Kings County","2555720","1.8264"
"Queens County","2242990","0.3692"
"New York County","1626540","2.3780"
"Suffolk County","1476140","-1.2206"
"Bronx County","1416950","2.1336"
"Nassau County","1359700","1.3423"
"Westchester County","964278","1.4356"
"Erie County","921569","0.2639"
"Monroe County","742550","-0.2745"
"Richmond County","477505","1.6788"
"Onondaga County","461845","-1.2153"
"Orange County","386247","3.4259"
"Rockland County","327407","4.7696"
"Albany County","305917","0.6048"
"Dutchess County","294254","-1.1678"
"Saratoga County","232285","5.5337"
"Oneida County","228477","-2.6776"
"Niagara County","209567","-3.1929"
"Broome County","189059","-5.6959"
"Ulster County","178351","-2.2247"
"Rensselaer County","159804","0.2906"
"Schenectady County","156422","1.0060"
"Chautauqua County","126599","-6.0315"
"Oswego County","116842","-4.3384"
"Ontario County","110374","2.0432"
"Jefferson County","109139","-6.3940"
"St. Lawrence County","107017","-4.2876"
"Tompkins County","103023","1.2760"
"Putnam County","98744","-0.9201"
"Steuben County","94890","-4.1631"
"Wayne County","89448","-4.5908"
"Chemung County","83014","-6.6188"
"Clinton County","80951","-1.3935"
"Cayuga County","76509","-4.2453"
"Sullivan County","76336","-1.4727"
"Cattaraugus County","76030","-5.2349"
"Madison County","70723","-3.6996"
"Warren County","63939","-2.6359"
"Livingston County","62759","-3.8014"
"Herkimer County","61081","-5.2435"
"Washington County","60613","-4.3099"
"Otsego County","59441","-4.5247"
"Columbia County","58932","-6.4957"
"Genesee County","56901","-5.0701"
"Fulton County","53219","-4.0442"
"Franklin County","49991","-3.2158"
"Montgomery County","49933","-0.7296"
"Tioga County","48380","-5.1577"
"Cortland County","47797","-3.0152"
"Greene County","47525","-3.2787"
"Chenango County","47028","-6.6923"
"Allegany County","45914","-6.2252"
"Delaware County","43541","-9.0793"
"Orleans County","40318","-5.8914"
"Wyoming County","39689","-5.7738"
"Essex County","36878","-6.2821"
"Seneca County","34246","-2.8785"
"Schoharie County","30819","-5.7292"
"Lewis County","26189","-3.2831"
"Yates County","24619","-2.9793"
"Schuyler County","17886","-2.4010"
"Hamilton County","4340","-10.5339"